# trivial,nontrivial,accuracy
9.886177194421656989e-01,9.193548387096773800e-01,9.868999999999999995e-01
9.890233894132129944e-01,9.007936507936508130e-01,9.868000000000000105e-01
9.894467213114753745e-01,9.083333333333333259e-01,9.875000000000000444e-01
9.898523985239852108e-01,9.098360655737705027e-01,9.879000000000000004e-01
9.902624026240262056e-01,9.098360655737705027e-01,9.882999999999999563e-01
9.906762295081966707e-01,9.124999999999999778e-01,9.888000000000000123e-01
9.910824108241081953e-01,9.098360655737705027e-01,9.890999999999999792e-01
9.914889253486464105e-01,9.112903225806451291e-01,9.895000000000000462e-01
9.918891170431211046e-01,9.000000000000000222e-01,9.895000000000000462e-01
9.925174251742517884e-01,9.098360655737705027e-01,9.905000000000000471e-01
9.929245283018868218e-01,9.112903225806451291e-01,9.909000000000000030e-01
9.932293803857201731e-01,9.087301587301587213e-01,9.910999999999999810e-01
9.933237469186524393e-01,8.863636363636363535e-01,9.905000000000000471e-01
9.933347005742412250e-01,9.032258064516128782e-01,9.910999999999999810e-01
9.931267952400492094e-01,9.007936507936508130e-01,9.908000000000000140e-01
9.931239737274220047e-01,8.906250000000000000e-01,9.905000000000000471e-01
9.928072338676531272e-01,8.805970149253731227e-01,9.898000000000000131e-01
9.923061140746819442e-01,8.849206349206348854e-01,9.896000000000000352e-01
9.919950738916256672e-01,8.750000000000000000e-01,9.889999999999999902e-01
9.915776499589153969e-01,8.712121212121212155e-01,9.883999999999999453e-01
9.910530645824763285e-01,8.623188405797101996e-01,9.875000000000000444e-01
9.906609195402298340e-01,8.593750000000000000e-01,9.872999999999999554e-01
9.902423993426457960e-01,8.560606060606060774e-01,9.867000000000000215e-01
9.897246198109329596e-01,8.582089552238806318e-01,9.861999999999999655e-01
9.893048128342245562e-01,8.405797101449274944e-01,9.851999999999999647e-01
9.889117043121149475e-01,8.538461538461538103e-01,9.854000000000000536e-01
9.883935907970419210e-01,8.522727272727272929e-01,9.848000000000000087e-01
9.880805589806822553e-01,8.432835820895522305e-01,9.841999999999999638e-01
9.876543209876542662e-01,8.357142857142857428e-01,9.834000000000000519e-01
9.871610517666392637e-01,8.446969696969697239e-01,9.834000000000000519e-01
9.868475133579942549e-01,8.358208955223880299e-01,9.828000000000000069e-01
9.866365131578946901e-01,8.455882352941176405e-01,9.828000000000000069e-01
9.864141622066694426e-01,8.345070422535211252e-01,9.820999999999999730e-01
9.865392519523222825e-01,8.395522388059701857e-01,9.826000000000000290e-01
9.867393092105263275e-01,8.492647058823529216e-01,9.829999999999999849e-01
9.869395310571781321e-01,8.514492753623188470e-01,9.831999999999999629e-01
9.874382207578253912e-01,8.333333333333333703e-01,9.829999999999999849e-01
9.878700657894736725e-01,8.492647058823529216e-01,9.840999999999999748e-01
9.882716049382715973e-01,8.464285714285714191e-01,9.842999999999999527e-01
9.886784685055578503e-01,8.485915492957746276e-01,9.847000000000000197e-01
9.890811701689328217e-01,8.390410958904109817e-01,9.847000000000000197e-01
9.895061728395061484e-01,8.464285714285714191e-01,9.855000000000000426e-01
9.899135446685879414e-01,8.450704225352112520e-01,9.858000000000000096e-01
9.903252367229312680e-01,8.556338028169013787e-01,9.865000000000000435e-01
9.906224237427865287e-01,8.479729729729730270e-01,9.864000000000000545e-01
9.911522633744855870e-01,8.535714285714285365e-01,9.872999999999999554e-01
9.915603128859612481e-01,8.626760563380281299e-01,9.879000000000000004e-01
9.918657331136737643e-01,8.645833333333333703e-01,9.881999999999999673e-01
9.923711340206186060e-01,8.499999999999999778e-01,9.880999999999999783e-01
9.926924660354055074e-01,8.661971830985915055e-01,9.890999999999999792e-01
9.927924217462932299e-01,8.680555555555555802e-01,9.891999999999999682e-01
9.928924598269468493e-01,8.595890410958904049e-01,9.889999999999999902e-01
9.928836633663365996e-01,8.552631578947368363e-01,9.887000000000000233e-01
9.927924217462932299e-01,8.645833333333333703e-01,9.890999999999999792e-01
9.926894563426688078e-01,8.645833333333333703e-01,9.889999999999999902e-01
9.922775947281713416e-01,8.680555555555555802e-01,9.887000000000000233e-01
9.917559769167353378e-01,8.614864864864865135e-01,9.879000000000000004e-01
9.915637860082304744e-01,8.714285714285714413e-01,9.881999999999999673e-01
9.911522633744855870e-01,8.892857142857142350e-01,9.882999999999999563e-01
9.906417112299464867e-01,8.876811594202898004e-01,9.878000000000000114e-01
9.904281597365170997e-01,8.802816901408451189e-01,9.872999999999999554e-01
9.901356350184956634e-01,8.992537313432835688e-01,9.877000000000000224e-01
